Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,LinkedIn_Handle,Instagram,Instagram_Handle,Facebook,Facebook_Handle,Stand_Booth,Hall_Stand,Address,Detail_URL,Has_Email,Has_Website,Has_Phone,Contact_Score,Notes
REMI VAN DÈRE,Italy,,,Pitti Uomo 110,https://remivandere.com,sales@remivandere.com,,,,https://www.instagram.com/remivandere,remivandere,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/2-4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/remi-van-d-re,True,True,False,3,
RESOLUTE,Japan,,Lifestyle; Japan Style; Classic; Denimwear; Workwear; Craftsmanship,Pitti Uomo 110,http://www.resolute.jp,info@resolute.jp,2026-01-07 109,,,https://www.instagram.com/resolute_japan,resolute_japan,,,SALA DELLE NAZIONI / A/25,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/resolute,True,True,True,4,
RESTELLI GUANTI,Italy,,Cutting-Edge; Nordic Style; Classic; High Performance; Sportswear; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.restelliguanti.it,info@restelliguanti.it,+39 023 427 13,,,https://www.instagram.com/restelliguanti,restelliguanti,https://www.facebook.com/restelliguanti,restelliguanti,PADIGLIONE CENTRALE / PIANO INFERIORE / T/22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/restelli-guanti,True,True,True,4,
REVERES 1949,Italy,,,Pitti Uomo 110,http://www.reveres1949.com,info@maestrami.com,+39 051 8654711,,,https://www.instagram.com/reveres_1949,reveres_1949,https://www.facebook.com/reveres1949,reveres1949,PADIGLIONE CENTRALE / PIANO TERRA / E/22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/reveres-1949,True,True,True,4,
REVOLUTION,Denmark,,Sustainable; Essentials; Nordic Style; Classic; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,http://www.revolution.eu,shop@revolution.eu,+45 86 76 38 66,,,https://www.instagram.com/revolutionof1995,revolutionof1995,,,PADIGLIONE CAVANIGLIA / 60-62,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/revolution,True,True,True,4,
RICHARD J. BROWN ITALIAN LUXURY DENIM,Italy,,New Formal; Denimwear; High Performance; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.richardjbrown.it,aboutsrl@pec.it,08650260964,https://www.linkedin.com/company/richard-j-brown-milano,richard-j-brown-milano,https://www.instagram.com/richardjbrownmilano,richardjbrownmilano,,,PADIGLIONE CENTRALE / PIANO INFERIORE / P/8 Q/7,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/richard-j--brown-italian-luxury-denim,True,True,True,5,
RIFUGIO,Italy,,Sustainable; Classic; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.alfredorifugio.com,info@alfredorifugio.com,+39 081 850 3548,,,https://www.instagram.com/rifugio_napoli,rifugio_napoli,,,PADIGLIONE CENTRALE / PIANO INFERIORE / O/6 P/5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rifugio,True,True,True,4,
RING JACKET,Japan,,Japan Style; Classic; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ringjacket.com,info@ringjacket.com,,,,https://www.instagram.com/ring_jacket,ring_jacket,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/ring-jacket,True,True,False,3,
RIVEA,Switzerland,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / G/1,,,,False,False,False,0,
ROBERTA PIERI,Italy,,,Pitti Uomo 110,http://www.robertapieri.com,info@stagheaddesigns.com,,https://www.linkedin.com/company/roberta-pieri/,roberta-pieri,https://www.instagram.com/roberta_pieri,roberta_pieri,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/26,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/roberta-pieri,True,True,False,4,
ROBERTO COLLINA,Italy,,Lifestyle; Essentials; Classic; New Formal; Contemporary,Pitti Uomo 110,http://www.robertocollina.com,info@robertocollina.it,+39 051 6804211,,,https://www.instagram.com/robertocollina,robertocollina,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/7-9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/roberto-collina,True,True,True,4,
ROGERS PEET COMPANY,U.S.A.,,Sustainable; British Style; New Formal; Globetrotter; Informal; Contemporary,Pitti Uomo 110,http://www.rogerspeetcompany.com,sales@dumasitaly.com,+39 0733 1582757,,,,,,,,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rogers-peet-company,True,True,True,3,
ROOP,Japan,,Sustainable; Agender; Japan Style; Denimwear; High Performance; Contemporary,Pitti Uomo 110,,,,,,https://www.instagram.com/eminento1949go,eminento1949go,,,PADIGLIONE CENTRALE / PIANO ATTICO / C/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/roop,False,False,False,1,
ROSI COLLECTION,Italy,,Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.rosicollection.it,info@rosicollection.it,+39 0575 250962,,,https://www.instagram.com/rosicollectionaccessories,rosicollectionaccessories,https://www.facebook.com/rosicollection,rosicollection,PADIGLIONE CENTRALE / PIANO INFERIORE / P/25,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rosi-collection,True,True,True,4,
ROY ROBSON,Germany,,Lifestyle; Essentials; Classic; New Formal; Outdoor; Collection,Pitti Uomo 110,http://www.royrobson.com,info@royrobson.com,,https://www.linkedin.com/company/royyrobson-fashion/,royyrobson-fashion,https://www.instagram.com/royrobsonfashion,royrobsonfashion,,,PADIGLIONE CENTRALE / PIANO TERRA / A/14-16 B/13-15,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/roy-robson,True,True,False,4,
ROY ROGER'S,Italy,,Lifestyle; Denimwear; Workwear; Outdoor; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,http://www.royrogers.it,cs.royrogers@the-ffw.com,02196080978,,,https://www.instagram.com/royrogers_official,royrogers_official,https://www.facebook.com/royrogersofficial,royrogersofficial,PADIGLIONE CENTRALE / PIANO TERRA / K/1-3 L/2-4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/roy-roger-s,True,True,True,4,
RP,Germany,,Sustainable; Classic; Outdoor; Sportswear; Urban,Pitti Uomo 110,http://www.redpoint-sportswear.com,info@redpoint-sportswear.com,+49 421 84 01 164,,,https://www.instagram.com/redpoint_outerwear/,redpoint_outerwear,,,PADIGLIONE CENTRALE / PIANO TERRA / K/18,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rp,True,True,True,4,
RPL,Italy,,Lifestyle; Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,,,,,,https://www.instagram.com/rpl_ufficiale,rpl_ufficiale,,,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rpl,False,False,False,1,
RULES OF FAITH,United Kingdom,,Lifestyle; Sustainable; Essentials; British Style; Denimwear; Premium Streetwear; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://rulesoffaith.com,info@rulesoffaith.com,,,,https://www.instagram.com/rulesoffaith,rulesoffaith,,,SALA DELLE NAZIONI / A/15-17,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rules-of-faith,True,True,False,3,
RUN OF RUNARCHY ATTITUDE,Italy,,Lifestyle; Sustainable; Outdoor; High Performance; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.run-of.com,info@boemos.it,+39 0571 261 687,,,,,,,PADIGLIONE CAVANIGLIA / 46,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/run-of-runarchy-attitude,True,True,True,3,
RUST MOOD,Italy,,Lifestyle; Denimwear; Workwear; Youth Culture; Luxury; Craftsmanship,Pitti Uomo 110,http://rustmood.com,info@rustmood.com,04919890287,,,https://www.instagram.com/rust_mood,rust_mood,https://www.facebook.com/rustmood,rustmood,SALA DELLE NAZIONI / B/41,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/R/rust-mood,True,True,True,4,
S.PIERPAOLI,Italy,,Classic; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / P/22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/s-pierpaoli,False,False,False,0,
S001,Italy,,Nordic Style; Activewear; Informal; Contemporary,Pitti Uomo 110,http://S001.world,info@s001.world,,,,https://www.instagram.com/s001.world,s001.world,,,ARSENALE / PIANO TERRA / 18,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/s001,True,True,False,3,
SAND MENSWEAR,Denmark,,,Pitti Uomo 110,http://www.sandcopenhagen.com,prsand@sandcopenhagen.com,+45 35 44 61 00,,,https://www.instagram.com/sandcopenhagen,sandcopenhagen,,,PADIGLIONE CENTRALE / PIANO INFERIORE / P/15,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sand-menswear,True,True,True,4,
SANDERS,United Kingdom,,,Pitti Uomo 110,http://www.sanders-uk.com,info@sanders-uk.com,,,,https://www.instagram.com/sandersshoes,sandersshoes,,,PADIGLIONE CENTRALE / PIANO ATTICO / E/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sanders,True,True,False,3,
SANJO,Portugal,,,Pitti Uomo 110,,,,,,,,,,ARMERIA / 24,,,,False,False,False,0,
SANTHA,Italy,,,Pitti Uomo 110,https://www.santhanotforskate.com/it,cs.santha@the-ffw.com,02196080978,,,https://www.instagram.com/santhanotforskate,santhanotforskate,https://www.facebook.com/profile.php,profile.php,SALA DELLE NAZIONI / A/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/santha,True,True,True,4,
SAPAF 1954,Italy,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Essentials; Classic; New Formal; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.sapaf54.it,info@sapaf54.it,055 721023,https://www.linkedin.com/company/sapaf-atelier-1954/,sapaf-atelier-1954,https://www.instagram.com/sapaf1954,sapaf1954,https://www.facebook.com/SapafAtelier1954/,SapafAtelier1954,PADIGLIONE CENTRALE / PIANO TERRA / G/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sapaf-1954,True,True,True,5,
SARANGHAEYO,Korea (South),,Lifestyle; Luxury; Craftsmanship,Pitti Uomo 110,http://www.srhy.co.kr,info@saranghaeyo.co.kr,+822 6369 8886,,,https://www.instagram.com/srhy_pf,srhy_pf,,,,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/saranghaeyo,True,True,True,4,
SARTORIA MASSACRI,Italy,,Lifestyle; Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://www.sartoriamassacri.it,info@sartoriamassacri.it,+39 080 430 2508,,,https://www.instagram.com/sartoria_massacri,sartoria_massacri,https://www.facebook.com/sartoriamassacri/,sartoriamassacri,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 51,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sartoria-massacri,True,True,True,4,
SARTORIA MELINA NAPOLI,Italy,,,Pitti Uomo 110,http://www.sartoriamelina.com,info@sartoriamelina.com,+39 333 1796673,,,https://www.instagram.com/sartoriamelinanapoli,sartoriamelinanapoli,https://facebook.com/154154214991837,154154214991837,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 25,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sartoria-melina-napoli,True,True,True,4,
SARTORIA PARTENOPEA,Italy,,,Pitti Uomo 110,http://www.mauroblasi.com,info@mauroblasi.com,08163991212,,,https://www.instagram.com/mauroblasinapoli,mauroblasinapoli,,,,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sartoria-partenopea,True,True,True,4,
SARTORIA TRINCHESE,Italy,,,Pitti Uomo 110,https://www.sartoriatrinchese.com,infosartoriatrinchese@gmail.com,+39 377 3990641,,,https://www.instagram.com/sartoriatrinchese,sartoriatrinchese,https://www.facebook.com/sumisura.it,sumisura.it,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sartoria-trinchese,True,True,True,4,
SARTORIO,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / S/1-5,,,,False,False,False,0,
SATORISAN,Spain,,Lifestyle; Sustainable; Cutting-Edge; New Formal; Premium Streetwear; Informal; Urban; Youth Culture; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.satorisan.com,hello@satorisan.com,36 37 38 39 40 41 42,,,https://www.instagram.com/satorisan.brand,satorisan.brand,,,PADIGLIONE CAVANIGLIA / 30,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/satorisan,True,True,True,4,
SAVE MY BAG,Italy,,Contemporary,Pitti Uomo 110,https://savemybag.it,info@savemybag.it,+39%200546%20656774,,,https://www.instagram.com/savemybag,savemybag,,,CORTILE DELL'ARMERIA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/save-my-bag,True,True,True,4,
SAVE THE DUCK,Italy,,,Pitti Uomo 110,http://www.savetheduck.com,info@savetheduck.com,+39 02 87186105,https://www.linkedin.com/company/savetheduck,savetheduck,https://www.instagram.com/save_the_duck,save_the_duck,,,GIARDINO DEL GLICINE / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/save-the-duck,True,True,True,5,
SCAGLIONE,Italy,,,Pitti Uomo 110,http://www.scaglione.it,lucia.alberti@scaglione.it,+39 035 4373338,,,https://www.instagram.com/scaglione_official,scaglione_official,,,PADIGLIONE CENTRALE / PIANO ATTICO / F/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/scaglione,True,True,True,4,
SCANDINAVIAN EDITION,Norway,,Nordic Style; Classic; Outdoor; High Performance; Activewear; Urban; Contemporary; Collection,Pitti Uomo 110,https://scandinavianedition.com,support@scandinavianedition.com,,,,https://www.instagram.com/scandinavianedition,scandinavianedition,,,SALA DELLA RONDA / 11-12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/scandinavian-edition,True,True,False,3,
SCARTI-LAB,Italy,,Sustainable; Classic; Workwear; Craftsmanship,Pitti Uomo 110,http://www.scarti-lab.it,info@scarti-lab.com,+39 0510939014,,,https://www.instagram.com/scartilab,scartilab,https://www.facebook.com/scartilab/,scartilab,SALA DELLE NAZIONI / B/47,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/scarti-lab,True,True,True,4,
SCHMOOVE,France,,,Pitti Uomo 110,http://www.schmoove.fr,dpo@schmoove.fr,+33 (0)251663679,,,https://www.instagram.com/schmooveshoes,schmooveshoes,https://www.facebook.com/SchmooveShoes,SchmooveShoes,ARMERIA / 19,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/schmoove,True,True,True,4,
SCHNEIDERS,Italy,,Lifestyle; Classic; Luxury; Contemporary,Pitti Uomo 110,http://www.schneiders.com,info@cashmeresrl.it,+39 0248010299,,,https://www.instagram.com/schneiderssalzburg_official/,schneiderssalzburg_official,,,PADIGLIONE CENTRALE / PIANO INFERIORE / V/6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/schneiders,True,True,True,4,
SCUDERI,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / T/7 U/6,,,,False,False,False,0,
SECRID,Netherlands,,,Pitti Uomo 110,https://www.secrid.com,hoogstraat@secrid.com,+31 (0)70 799 0600,,,https://www.instagram.com/secrid,secrid,,,PADIGLIONE CENTRALE / PIANO TERRA / J/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/secrid,True,True,True,4,
SEEINGRED - OUTOPIA BY VANISH,United Kingdom,,,Pitti Uomo 110,,,,,,,,,,SALA DELLA RONDA / 24-25,,,,False,False,False,0,
SEIDENSTICKER,Germany,,Sustainable; Essentials; Classic; Collection,Pitti Uomo 110,https://www.seidensticker.com/de/de/herren,info@seidensticker.com,256784039,,,https://www.instagram.com/seidensticker_com,seidensticker_com,https://www.facebook.com/seidensticker.de,seidensticker.de,PADIGLIONE CENTRALE / PIANO TERRA / E/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/seidensticker,True,True,True,4,
SEINSE,Italy,,Lifestyle; Special Co-Lab/Limited Edition; Essentials; Classic; Denimwear; Activewear; Sportswear; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.seinse.it,info@seinse.it,2026-02-19,,,https://www.instagram.com/seinse.it,seinse.it,https://www.facebook.com/seinsemenswear/,seinsemenswear,COSTRUZIONI LORENESI / PIANO TERRA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/seinse,True,True,True,4,
SEPTWOLVES - CHINA WAVE,China,,,Pitti Uomo 110,,,,,,,,,,COSTRUZIONI LORENESI / PIANO TERRA,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/septwolves---china-wave,False,False,False,0,
SERA' FINE SILK,Italy,,Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,https://www.serafinesilk.com,info@serafinesilk.com,+39 3427946654,,,https://www.instagram.com/serafinesilk,serafinesilk,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/25,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sera--fine-silk,True,True,True,4,
SERINA,Japan,,,Pitti Uomo 110,http://serina.world,info@serina.world,048-789-6566,,,https://www.instagram.com/serina_co,serina_co,,,COSTRUZIONI LORENESI / PIANO PRIMO / 2,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/serina,True,True,True,4,
SES PALMA,Spain,,,Pitti Uomo 110,https://www.sespalma.com,contact@sespalma.com,,,,https://www.instagram.com/ses.palma,ses.palma,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/ses-palma,True,True,False,3,
SETTEFILI CASHMERE,Italy,,Lifestyle; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.settefili.it,info@settefili.it,+39 0532 902133,,,https://www.instagram.com/settefilicashmere,settefilicashmere,https://www.facebook.com/settefili,settefili,PADIGLIONE CENTRALE / PIANO INFERIORE / T/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/settefili-cashmere,True,True,True,4,
SH ZERO,Italy,,,Pitti Uomo 110,http://shzero.it,info@shzero.it,,,,https://www.instagram.com/shzero.official,shzero.official,,,PADIGLIONE CENTRALE / PIANO TERRA / J/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sh-zero,True,True,False,3,
SHOCKLY,Italy,,,Pitti Uomo 110,http://www.shockly.it,info@shockly.it,,,,https://www.instagram.com/shockly.official,shockly.official,,,PADIGLIONE CENTRALE / PIANO TERRA / J/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/shockly,True,True,False,3,
SHOTO,Italy,,Lifestyle; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.shoto.it,customer@shoto.it,01554620441,,,https://www.instagram.com/shotoshoes,shotoshoes,,,SALA DELLE NAZIONI / B/45,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/shoto,True,True,True,4,
SILVANO SASSETTI,Italy,,,Pitti Uomo 110,http://www.silvanosassetti.it,info@silvanosassetti.it,01496450444,,,https://www.instagram.com/silvano_sassetti,silvano_sassetti,https://www.facebook.com/Silvano.Sassetti/,Silvano.Sassetti,SALA DELLE NAZIONI / A/32,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/silvano-sassetti,True,True,True,4,
SILVIO FIORELLO,Italy,,Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.silviofiorello.com,info@silviofiorello.com,+393801775293,,,https://www.instagram.com/silviofiorello,silviofiorello,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 32,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/silvio-fiorello,True,True,True,4,
SILVIO FIORELLO X MAURITSHUIS MUSEUM,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 32,,,,False,False,False,0,
SING A SONG,France,,Lifestyle; Essentials; Cutting-Edge; Denimwear; Globetrotter; Premium Streetwear; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.singasong.fr,sav@singasong.fr,0465854226,,,https://www.instagram.com/singasongbijoux,singasongbijoux,,,PADIGLIONE CENTRALE / PIANO TERRA / G/7,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sing-a-song,True,True,True,4,
SNEE,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CAVANIGLIA / 52,,,,False,False,False,0,
SNOW PEAK,Japan,,,Pitti Uomo 110,https://uk.snowpeak.com,info@stagheaddesigns.com,+44 0203 978 4954,,,https://www.instagram.com/snowpeak_uk,snowpeak_uk,,,SALA DELLA RONDA / 20-21,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/snow-peak,True,True,True,4,
SOARIN - CHINA WAVE,China,,Sustainable; Special Co-Lab/Limited Edition; Agender; Cutting-Edge; Craftsmanship; Collection,Pitti Uomo 110,,,,,,,,,,COSTRUZIONI LORENESI / PIANO TERRA,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/soarin---china-wave,False,False,False,0,
SOARIN WORLD - CHINA WAVE,China,,Sustainable; Special Co-Lab/Limited Edition; Agender; Cutting-Edge; Craftsmanship; Collection,Pitti Uomo 110,,,,,,,,,,,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/soarin-world---china-wave,False,False,False,0,
SOCK AFFAIRS,Portugal,,,Pitti Uomo 110,,,,,,https://www.instagram.com/sockaffairs,sockaffairs,,,ARMERIA / 22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sock-affairs,False,False,False,1,
SOLDINI80,Italy,,,Pitti Uomo 110,http://www.soldini80.it,Support@soldini80.com,00100020510,,,https://www.instagram.com/soldini80official,soldini80official,https://www.facebook.com/share/18MQMMX5xB/,share,PADIGLIONE CAVANIGLIA / 24,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/soldini80,True,True,True,4,
SOLOIO,Colombia,,Classic; New Formal; Luxury; Collection,Pitti Uomo 110,http://Https://soloio.com,,,,,https://www.instagram.com/soloio.oficial,soloio.oficial,,,SALA DELLE NAZIONI / A/26,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/soloio,False,True,False,2,
SOMBRERO LIFE,Netherlands,,,Pitti Uomo 110,http://www.sombrerolife.com,info@sombrerolife.com,36 37 38 39 40 41 42,,,https://www.instagram.com/sombrerolife,sombrerolife,,,ARSENALE / PIANO TERRA / 16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sombrero-life,True,True,True,4,
SOMEWHERE OUTSIDE - OUTOPIA BY VANISH,Korea (South),,,Pitti Uomo 110,,,,,,,,,,SALA DELLA RONDA / 24-25,,,,False,False,False,0,
SONRISA CAMICERIA UOMO,Italy,,,Pitti Uomo 110,http://www.sonrisa.it,info@sonrisa.it,,,,https://www.instagram.com/sonrisa_shirts,sonrisa_shirts,,,PADIGLIONE CENTRALE / PIANO INFERIORE / V/13-15 Z/12-14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sonrisa-camiceria-uomo,True,True,False,3,
SORRENTINO,Italy,,,Pitti Uomo 110,http://www.sorrentinoperfumes.com,m.s@sorrentinoperfumes.com,+39) 331 8600359,,,https://www.instagram.com/sorrentinoperfumes,sorrentinoperfumes,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sorrentino,True,True,True,4,
SORYN,Italy,,,Pitti Uomo 110,,,,,,https://www.instagram.com/soryn_project,soryn_project,,,SALA DELLE NAZIONI / B/22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/soryn,False,False,False,1,
SOZZI MILANO,Italy,,Lifestyle; Japan Style; British Style; Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.sozzimilano.com,e-shop@sozzicalze.it,+39 030 9925926,,,https://www.instagram.com/sozzimilano,sozzimilano,https://www.facebook.com/SozziCalze,SozziCalze,PADIGLIONE CENTRALE / PIANO TERRA / J/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sozzi-milano,True,True,True,4,
SPACE FRIENDS,Poland,,Lifestyle; Outdoor; High Performance; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,https://spacefriends.eu,office@spacefriends.eu,+48 786 305 409,,,https://www.instagram.com/spacefriends.eu,spacefriends.eu,,,PADIGLIONE CENTRALE / PIANO TERRA / J/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/space-friends,True,True,True,4,
SPEKTRE EYEWEAR,Italy,,,Pitti Uomo 110,http://www.spektre.com,info@spektre.com,,,,https://www.instagram.com/spektresunglasses,spektresunglasses,https://www.facebook.com/Spektresunglasses,Spektresunglasses,PADIGLIONE CENTRALE / PIANO TERRA / G/6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/spektre-eyewear,True,True,False,3,
SPERRY,Italy,,Classic; New Formal; Urban,Pitti Uomo 110,http://www.sperry.com,info@sperry.com,1-800-247-6575,,,https://www.instagram.com/asap.showroom,asap.showroom,,,PADIGLIONE CAVANIGLIA / 36,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/sperry,True,True,True,4,
STEFAN BRANDT,Germany,,,Pitti Uomo 110,http://www.stefanbrandt.com,dpo-google@google.com,27 28 29 30 31 32 33,,,https://www.instagram.com/stefanbrandt_finestjersey/,stefanbrandt_finestjersey,https://www.facebook.com/StefanBrandtFinestJersey/,StefanBrandtFinestJersey,PADIGLIONE CENTRALE / PIANO ATTICO / A/8-10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/stefan-brandt,True,True,True,4,
