Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook
IMPURE,ITALY,,,Pitti Uomo 110,https://www.impure.it,link2east@gmail.com,+11975861003,,https://www.instagram.com/impure.alternative.basic,FURERIA / 10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/I/impure,,https://www.facebook.com/impurealternativebasic
INDICODE,DENMARK,,,Pitti Uomo 110,https://www.indicodejeans.dk,info@indicodejeans.dk,+4552715751,,https://www.instagram.com/indicode.official,FURERIA / 8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/I/indicode,,
INTRECCI & BELTS,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / T/20,,,
INVERTERE,UNITED KINGDOM,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/9,,,
INVICTA,ITALY,,,Pitti Uomo 110,https://www.invicta.it,info@invicta.it,+09322230013,,https://www.instagram.com/invicta_official,PADIGLIONE CAVANIGLIA / 31,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/I/invicta,,https://www.facebook.com/InvictaOfficial
IRON AND RESIN,FRANCE,,,Pitti Uomo 110,https://ironandresin.com,alan@ironandresin.com,+18055153353,,https://www.instagram.com/ironandresin,ARSENALE / PIANO TERRA / 15,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/I/iron-and-resin,,https://www.facebook.com/IronandResin
IS-NESS - OUTOPIA BY VANISH,JAPAN,,,Pitti Uomo 110,,,,,,SALA DELLA RONDA / 24-25,,,
ISAORA,U.S.A.,,Lifestyle; Sustainable; Cutting-Edge; New Formal; Outdoor; High Performance; Activewear; Sportswear; Urban; Contemporary,Pitti Uomo 110,http://www.isaora.com,,20092025,https://www.linkedin.com/company/isaora,https://www.instagram.com/isaora,PADIGLIONE CENTRALE / PIANO TERRA / H/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/I/isaora,,https://www.facebook.com/people/Isaoracom/100092889782715
J8QUALITY,JAPAN,,,Pitti Uomo 110,http://www.jquality.jp,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / A/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/j8quality,,
JACQUES SOLOVIÈRE PARIS,FRANCE,,Classic,Pitti Uomo 110,https://www.jacquessoloviere.com,info@soloparis.com,,,https://www.instagram.com/jacquessoloviereparis,PADIGLIONE CENTRALE / PIANO ATTICO / H/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jacques-solovi-re-paris,,https://www.facebook.com/jacquessoloviereparis
JAGGY,ITALY,,Lifestyle; Essentials; Classic; Denimwear; Sportswear; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.jaggy.it,,+02933330421,,https://www.instagram.com/jaggy.it,PADIGLIONE CENTRALE / PIANO TERRA / K/9 L/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jaggy,,https://www.facebook.com/jaggy.it
JAGVI. RIVE GAUCHE,FRANCE,,Sustainable; Luxury; Contemporary; Upcycling,Pitti Uomo 110,https://jagvi.eu,contact@jagvi.eu,0145541363,,https://www.instagram.com/jagvi_,SALA DELLE NAZIONI / B/17,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jagvi--rive-gauche,,https://www.facebook.com/jagvi.eu
JAMIESON'S OF SHETLAND,UNITED KINGDOM,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 14,,,
JEORDIE'S,ITALY,,,Pitti Uomo 110,http://www.jeordies.it,jeordies@jeordies.it,+39 0733 966413,,https://www.instagram.com/jeordies_official,PADIGLIONE CENTRALE / PIANO TERRA / H/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jeordie-s,,
JERRY KEY,ITALY,,,Pitti Uomo 110,http://www.jerrykey.it,info@jerrykey.it,+39 089 863927 | https://wa.me,,https://www.instagram.com/jerrykey.jackets/,PADIGLIONE CENTRALE / PIANO TERRA / H/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jerry-key,,https://www.facebook.com/jerrykey.jackets
JIWYA,INDIA,,Lifestyle; Sustainable; Classic; New Formal; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/jiwya_official,SALA DELLE NAZIONI / B/27,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jiwya,,
JIYONGKIM,KOREA (SOUTH),,Sustainable; Special Co-Lab/Limited Edition; Essentials; Cutting-Edge; Premium Streetwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://jiyongkim.net,cs@jiyongkim.net,0222712021,,https://www.instagram.com/jiyongkim_official,MAGAZZINO 07 / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jiyongkim,,
JJ HATS NEW YORK,U.S.A.,,,Pitti Uomo 110,http://www.jjhats.com,,,,,SALA DELLE NAZIONI / B/44-46,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jj-hats-new-york,,
JOHN SMEDLEY,UNITED KINGDOM,,,Pitti Uomo 110,http://www.johnsmedley.com,customercare@johnsmedley.co.uk,+44 (0)800 6523498,,https://www.instagram.com/johnsmedleyknitwear,PADIGLIONE CENTRALE / PIANO ATTICO / C/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/john-smedley,,https://www.facebook.com/JohnSmedleyKnitwear
JOHNNY LAMBS,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / I/14,,,
JOSEPH CHEANEY & SONS,UNITED KINGDOM,,Lifestyle; Sustainable; Essentials; British Style; Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.cheaney.co.uk,,,,https://www.instagram.com/josephcheaney,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/joseph-cheaney---sons,,
JP5 CONCEPT,ITALY,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Cutting-Edge; Japan Style; Luxury; Craftsmanship; Contemporary; Collection; Upcycling,Pitti Uomo 110,https://jp5concept.com,info@jp5concept.com,+34 664 75 92 62,https://www.linkedin.com/in/luca-ciucci-a1585125/,https://www.instagram.com/jp5concept,SALA DELLE NAZIONI / A/19,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/J/jp5-concept,,https://www.facebook.com/KralovaDesign/
KANGOL,UNITED KINGDOM,,Premium Streetwear; Urban; Youth Culture; Contemporary,Pitti Uomo 110,,,,,,PADIGLIONE CAVANIGLIA / 5,,,
KAPPY DESIGN,KOREA (SOUTH),,,Pitti Uomo 110,http://www.kappydesign.com,director@kappydesign.com,+0104597071410,,https://www.instagram.com/kappydesign,SALA DELLE NAZIONI / A/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kappy-design,,
KAPTEN&SON,GERMANY,,Lifestyle; Essentials; Nordic Style; Classic; Outdoor; Globetrotter; High Performance; Activewear; Urban; Collection,Pitti Uomo 110,http://www.kapten-son.com,,,,https://www.instagram.com/kaptenandson.de,PADIGLIONE CAVANIGLIA / 53,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kapten-son,,https://www.facebook.com/kaptenandsonde
KAVKI,JAPAN,,Lifestyle; Japan Style; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://kavki.jp,info@kavki.jp,1070052,,https://www.instagram.com/kavki_official/,PADIGLIONE CENTRALE / PIANO ATTICO / C/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kavki,,
KAWASAKI FOOTWEAR,DENMARK,,Lifestyle; Nordic Style; Sportswear; Urban,Pitti Uomo 110,http://kawasakifootwear.com,,,,https://www.instagram.com/kawasakifootwear.official,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kawasaki-footwear,,
KEELING,UNITED ARAB EMIRATES,,Lifestyle; Sustainable; Sportswear; Luxury,Pitti Uomo 110,https://www.keeling.io,info@sealand-international.com,,,https://www.instagram.com/keeling.io,PADIGLIONE CAVANIGLIA / 7,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/keeling,,https://www.facebook.com/keeling.io/
KEEN,U.S.A.,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Outdoor; Urban,Pitti Uomo 110,https://www.keenfootwear.it,info@amuvia.com,+01479900217,,https://www.instagram.com/keenitalia,SALA DELLA RONDA / 9-10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/keen,,https://www.facebook.com/keenitalia
KETROY,TURKEY,,Classic; New Formal; Denimwear; High Performance; Activewear; Sportswear; Informal; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.ketroy.com,,08502512968,https://www.linkedin.com/company/ketroyofficial,https://www.instagram.com/ketroy,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 18-19,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/ketroy,,
KETTA,JAPAN,,Lifestyle; Sustainable; Japan Style; New Formal; Workwear; Outdoor; Activewear; Sportswear; Luxury; Upcycling,Pitti Uomo 110,https://www.hirota-ap.com/ketta,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / D/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/ketta,,
KIEFERMANN,GERMANY,,Sustainable; Essentials; Informal; Urban; Contemporary; Collection,Pitti Uomo 110,https://www.kiefermann.com,,,,https://www.instagram.com/kiefermann,PADIGLIONE CENTRALE / PIANO ATTICO / B/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kiefermann,,
KIMUSSO- CHINA WAVE,CHINA,,Agender; Cutting-Edge; Workwear; Premium Streetwear; Urban; Youth Culture; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,,,,,,COSTRUZIONI LORENESI / PIANO TERRA,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/kimusso--china-wave,,
KIRED,ITALY,,Lifestyle; Nordic Style; Outdoor; Globetrotter; High Performance; Activewear; Sportswear; Informal; Luxury; Craftsmanship,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / T/2-6,,,
KJØRE PROJECT,NORWAY,,,Pitti Uomo 110,,,,,,ARSENALE / PIANO TERRA / 38,,,
KNT KITON NEW TEXTURES,ITALY,,,Pitti Uomo 110,http://www.kiton.com,,+06034520632,,https://www.instagram.com/kiton,PIAZZALE GHIAIA / 4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/K/knt-kiton-new-textures,,https://www.facebook.com/KitonOfficial
KREIS,GERMANY,,Lifestyle; Sustainable; Classic; New Formal; Premium Streetwear; Urban; Luxury; Craftsmanship,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / P/21,,,
KRONSTADT,DENMARK,,,Pitti Uomo 110,,,,,,FURERIA / 8,,,
L'IMPERMEABILE,ITALY,,,Pitti Uomo 110,http://www.limpermeabile.it,info@lrlandi.it,+39057173003,,https://www.instagram.com/l_limpermeabile,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/l-impermeabile,,
L. F. LIDFORT,ITALY,,,Pitti Uomo 110,http://www.lidfort.it,lidfort@lidfort.it,+00525910444,https://www.linkedin.com/company/9406122,https://www.instagram.com/lidfort,SALA DELLE NAZIONI / B/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/l--f--lidfort,,https://www.facebook.com/Lidfort
L.B.M. 1911,ITALY,,,Pitti Uomo 110,http://www.lbm1911.com,,,,https://www.instagram.com/l.b.m.1911_official,PADIGLIONE CENTRALE / PIANO INFERIORE / U/1-3 V/2-4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/l-b-m--1911,,
LA BOUCLE,BELGIUM,,Lifestyle; Sustainable; Agender; British Style; Classic; New Formal; Workwear; High Performance; Activewear; Premium Streetwear,Pitti Uomo 110,http://www.laboucle.com,,,,https://www.instagram.com/labouclebelts,PADIGLIONE CAVANIGLIA / 15,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/la-boucle,,
LA MARTINA,ARGENTINA,,Lifestyle; Essentials; British Style; Denimwear; Premium Streetwear; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.lamartina.com,,,,https://www.instagram.com/lamartinapolo,PADIGLIONE DELLE GHIAIA / 6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/la-martina,,
LA PAZ,PORTUGAL,,,Pitti Uomo 110,http://www.lapaz.pt,,,,https://www.instagram.com/lapaz_diary,SALA DELLE NAZIONI / A/21,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/la-paz,,
LAMANO ARTISANS,ITALY,,,Pitti Uomo 110,https://lamanoartisans.it,info@lamanoartisans.it,+39 348 256 3631,https://www.linkedin.com/company/lamanoartisans/,https://www.instagram.com/lamanoartisans,PADIGLIONE CENTRALE / PIANO ATTICO / D/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lamano-artisans,,https://www.facebook.com/lamanoartisans
LATORRE,ITALY,,,Pitti Uomo 110,http://www.sartorialatorre.it,info@sartorialatorre.it,+39 080 4315291,https://www.linkedin.com/company/sartoria-latorre,https://www.instagram.com/latorre_official,PADIGLIONE CENTRALE / PIANO INFERIORE / V/11 Z/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/latorre,,https://www.facebook.com/latorreofficial/
LE TEMPS DES CERISES,FRANCE,,,Pitti Uomo 110,http://www.letempsdescerises.com,,,https://www.linkedin.com/company/le-temps-des-cerises---japan-rags/mycompany,https://www.instagram.com/letempsdescerisesjeans,FURERIA / 13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/le-temps-des-cerises,,https://www.facebook.com/letempsdescerisesjeans/
LEBOLE,ITALY,,Lifestyle; Sustainable; Classic; New Formal; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.leboleuomo.it,,,,https://www.instagram.com/leboleuomo,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 20,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lebole,,
LEMARGO,ITALY,,,Pitti Uomo 110,http://www.lemargo.it,,,,https://www.instagram.com/lemargo_official,PADIGLIONE CENTRALE / PIANO ATTICO / I/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lemargo,,
LES DEUX,DENMARK,,Lifestyle; Essentials; Classic; Premium Streetwear; Craftsmanship; Contemporary,Pitti Uomo 110,https://lesdeux.dk,customercare@lesdeux.com,+45 78 74 53 35,https://www.linkedin.com/company/les-deux,https://www.instagram.com/lesdeux,ARSENALE / PIANO TERRA / 2-6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/les-deux,,https://www.facebook.com/lesdeuxcopenhague
LES HOMMES WHITE LABEL,ITALY,,,Pitti Uomo 110,https://www.leshommes.com,,,,https://www.instagram.com/leshommes_real_whitelabel,PADIGLIONE CENTRALE / PIANO TERRA / I/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/les-hommes-white-label,,
LF LINEA FASHION,ITALY,,,Pitti Uomo 110,http://www.lineafashion.it,info@lineafashion.it,+39 0445 641961,,https://www.instagram.com/lineafashion.it,PADIGLIONE CENTRALE / PIANO TERRA / E/30,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lf-linea-fashion,,https://www.facebook.com/LFLineaFashion
LOAKE,UNITED KINGDOM,,Lifestyle; British Style; Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.loake.co.uk,enquiries@loake.co.uk,+44 (0) 1536 415 411,,https://www.instagram.com/loakeshoemakers,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 8-10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/loake,,https://www.facebook.com/LoakeShoemakers
LOCK & CO. HATTERS,UNITED KINGDOM,,Lifestyle; British Style; Classic; Luxury; Craftsmanship,Pitti Uomo 110,http://www.lockhatters.co.uk,,,,https://www.instagram.com/lockhatters,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 56,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lock---co--hatters,,
LODENFREY,GERMANY,,Lifestyle; Sustainable; Nordic Style; Classic; New Formal; Outdoor; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.lodenfrey.eu,info@lodenfrey.de,2585748,,https://www.instagram.com/lodenfrey_1842,SALA DELLE NAZIONI / B/42,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lodenfrey,,https://de-de.facebook.com/Lodenfrey.DasOriginal
LONDINESE,ITALY,,,Pitti Uomo 110,http://www.londinese.it,info@londinese.it,+39 0587.274506,,https://www.instagram.com/londinese_official,FURERIA / 7,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/londinese,,https://facebook.com/londineseita
LORDS OF HARLECH,U.S.A.,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Essentials; Globetrotter; High Performance; Sportswear; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.lordsofharlech.com,,,,https://www.instagram.com/lordsofharlech,SALA DELLE NAZIONI / B/52-54,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lords-of-harlech,,
LORENZO MANCINI,ITALY,,,Pitti Uomo 110,http://www.lorenzomancini.eu,,,,https://www.instagram.com/lorenzomanciniofficial,SALA DELLE NAZIONI / B/50,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lorenzo-mancini,,
LORENZONI,ITALY,,Lifestyle; Sustainable; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.lorenzoni-store.com,,,,https://www.instagram.com/lorenzoni_official,PADIGLIONE CENTRALE / PIANO TERRA / B/10-12 C/7-9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lorenzoni,,
LOTTO LEGGENDA,ITALY,,Lifestyle; Essentials; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,http://www.lotto.it,,,,https://www.instagram.com/lottosport,PADIGLIONE CAVANIGLIA / 10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lotto-leggenda,,
LUCA FALONI,ITALY,,Essentials; Classic; Denimwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://lucafaloni.com,care@lucafaloni.com,+39 035 092 0012 | https://wa.me,https://www.linkedin.com/company/luca-faloni/jobs/,https://www.instagram.com/lucafaloni,PADIGLIONE CENTRALE / PIANO INFERIORE / O/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/luca-faloni,,https://www.facebook.com/lucafaloni
LUCIANO BARBERA,ITALY,,,Pitti Uomo 110,https://www.lucianobarbera.com,,,,https://www.instagram.com/lucianobarberaofficial,PADIGLIONE CENTRALE / PIANO INFERIORE / R/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/luciano-barbera,,
LUIGI BIANCHI,ITALY,,,Pitti Uomo 110,http://www.luigi-bianchi.com,,+39.03763091,,https://www.instagram.com/luigibianchi_official,PADIGLIONE CENTRALE / PIANO INFERIORE / U/1-3 V/2-4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/luigi-bianchi,,http://facebook.com/luigibianchiofficial
LUIGI GENTILE,ITALY,,Essentials; New Formal; Craftsmanship,Pitti Uomo 110,https://luigigentile.eu,,,,https://www.instagram.com/luigigentile_official,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 31,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/luigi-gentile,,
LYLE & SCOTT,UNITED KINGDOM,,,Pitti Uomo 110,http://www.lyleandscott.com,customersupport@lyleandscott.com,+03300570817,,https://www.instagram.com/lyle_and_scott,AREA MONUMENTALE / SALA DELL'ARCO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/L/lyle---scott,,https://www.facebook.com/lyleandscott/
M.C.U. MARCO CASSESE UNION,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; Sportswear; Premium Streetwear; Urban; Youth Culture; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.mcu-mcu.com,,,,https://www.instagram.com/m.c.u.wear,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/m-c-u--marco-cassese-union,,https://www.facebook.com/sharer/sharer.php
M5,GERMANY,,Lifestyle; Sustainable; New Formal; Denimwear; Outdoor; Informal; Urban; Youth Culture; Contemporary,Pitti Uomo 110,http://www.meyer-hosen.com,,,,https://www.instagram.com/meyerhosen,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 12-15,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/m5,,
MA' RY' YA,ITALY,,Lifestyle; Sustainable; Essentials; Cutting-Edge; Japan Style; New Formal; Denimwear; Youth Culture; Luxury; Contemporary,Pitti Uomo 110,http://www.maryya.it,maryyamaglia@gmail.com,+07061830969,,https://www.instagram.com/maryyaofficial,PADIGLIONE CENTRALE / PIANO ATTICO / I/18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/ma--ry--ya,,
MACKINTOSH,UNITED KINGDOM,,,Pitti Uomo 110,http://www.mackintosh.com,,,,https://www.instagram.com/mackintoshofficial_uk,PADIGLIONE CENTRALE / PIANO INFERIORE / P/20,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/mackintosh,,
MAERZ MUENCHEN,GERMANY,,Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,https://www.maerz.de,service@maerz-onlineshop.de,+49 (0) 89 143 6715 227,https://de.linkedin.com/company/maerz-muenchen-kg,https://www.instagram.com/maerzmuenchen,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/maerz-muenchen,,https://www.facebook.com/maerz.muenchen
MAESTRAMI,ITALY,,,Pitti Uomo 110,http://www.maestrami.com,,+39 051 8654711,,https://www.instagram.com/maestrami_uomo,PADIGLIONE CENTRALE / PIANO TERRA / E/22,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/maestrami,,https://www.facebook.com/MaestramiAbbigliamento/
MAGAZZINO RICAMBI,ITALY,,,Pitti Uomo 110,,,,,https://www.instagram.com/magazzino_ricambi,PADIGLIONE CENTRALE / PIANO ATTICO / D/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/magazzino-ricambi,,
MAISON BOINET,FRANCE,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / C/11,,,
MAISON HIDEOUT,FRANCE,,Lifestyle; Special Co-Lab/Limited Edition; Essentials; Denimwear; Activewear; Sportswear; Premium Streetwear; Urban; Youth Culture; Contemporary,Pitti Uomo 110,http://www.maisonhideout.com,,,,https://www.instagram.com/maisonhideout,ARMERIA / 18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/maison-hideout,,
MAISON MONTAGUT,FRANCE,,,Pitti Uomo 110,https://montagut.com/fr,dpo@montagut.com,+334 75 41 79 51,https://www.linkedin.com/company/maisonmontagut/posts/,https://www.instagram.com/maisonmontagut,PADIGLIONE CENTRALE / PIANO TERRA / J/7,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/maison-montagut,,https://www.facebook.com/maisonmontagut/
MALLET,UNITED KINGDOM,,Lifestyle; Essentials; British Style; New Formal; High Performance; Premium Streetwear; Urban; Youth Culture; Luxury; Contemporary,Pitti Uomo 110,https://mallet.com,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / A/7,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/mallet,,
MANCINO,ITALY,,Lifestyle; Essentials; Urban; Craftsmanship,Pitti Uomo 110,http://www.mancinoaccessori.com,,0617691,,https://www.instagram.com/mancinoaccessori,PADIGLIONE CAVANIGLIA / 63,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/mancino,,
MANI DEL SUD,ITALY,,,Pitti Uomo 110,http://www.manidelsud.it,info@manidelsud.it,+39 055 9863365,,https://www.instagram.com/manidelsud_official,PADIGLIONE CENTRALE / PIANO INFERIORE / P/26,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/mani-del-sud,,https://it-it.facebook.com/manidelsudofficial
MANIFATTURA CECCARELLI,ITALY,,,Pitti Uomo 110,http://www.manifatturaceccarelli.com,,,,https://www.instagram.com/manifatturaceccarelli,SALA DELLE NAZIONI / A/20-24 B/21-25,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manifattura-ceccarelli,,
MANIKOMIO DSGN,ITALY,,,Pitti Uomo 110,http://manikomiodsgn.com,,,,https://www.instagram.com/manikomio_dsgn,SALA DELLE NAZIONI / A/34,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manikomio-dsgn,,
MANOVIE TOSCANE,ITALY,,Lifestyle; Sustainable; Essentials; Japan Style; Classic; New Formal; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.manovietoscane.it,,,,https://www.instagram.com/manovietoscane,PADIGLIONE CENTRALE / PIANO INFERIORE / O/25,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manovie-toscane,,
MANTO,ITALY,,Essentials; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.mantoitalia.com,,,,https://www.instagram.com/manto_italia,PADIGLIONE CENTRALE / PIANO INFERIORE / V/3 Z/2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manto,,
MANUEL RITZ,ITALY,,Lifestyle; Essentials; British Style; New Formal; Contemporary,Pitti Uomo 110,http://www.manuelritz.com,,,,https://www.instagram.com/manuelritzofficial,PADIGLIONE CENTRALE / PIANO INFERIORE / V/17-19 Z/16-18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manuel-ritz,,
MANZONI24,ITALY,,,Pitti Uomo 110,https://www.manzoni24.it,,,,https://www.instagram.com/manzoni24official,PADIGLIONE CENTRALE / PIANO INFERIORE / R/20,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/manzoni24,,
MAPPINA MILANO,ITALY,,Special Co-Lab/Limited Edition; Classic,Pitti Uomo 110,https://www.mappina-milano.com,,+13425380964,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/M/mappina-milano,,
