Company,Country,Category,Website,Stand,Email,Phone
American Donut d.o.o.,Croatia,Frozen Food,http://www.americandonut.hr,Hall 04.1 | C011,nikolina.hmelina@american-donut.hr,+385 0994904743
American Garden,United States of America,Fine Food,https://www.americangarden.us,Hall 10.2 | G052,,+1 212 268 9930
American Popcorn Company Ltd.,Bulgaria,,,Hall 11.2 | F034,,
"American Trading International, Inc.",United States of America,Fine Food,https://www.american-trading.com,Hall 10.2 | H051,ati@american-trading.com,+1 310 445 2000
Ameztoi Anaiak SL,Spain,Fine Food,http://www.ameztoi.com,Hall 11.1 | B049a,info@ameztoi.com,+34 943832753
Amica Chips SPA,Italy,Fine Food,https://amicachips.it/,Hall 11.2 | F013,amicachips@amicachips.it,+39 0376946611
Amir Rice Mills (Private) Limited,Pakistan,Fine Food,http://www.amirice.com,Hall 11.3 | E040a,export@amirice.com,+92 3080888888
Ammerland America Corp.,United States of America,Dairy,https://molkerei-ammerland.com/en-us,Hall 10.1 | G030,yunger@ammerlandamerica.com,+1 786 554 2904
Ammerland Asia Pacific Pte. Ltd.,Singapore,Dairy,https://molkerei-ammerland.com/en,Hall 10.1 | G030,info@ammerland-asiapacific.com,+65 65627660
Ammerland Hungary Kft.,Hungary,Dairy,https://molkerei-ammerland.com/hu-hu,Hall 10.1 | G030,mail@ammerland.hu,+36 13919010
Ammerland Iberica S.L.U.,Spain,Dairy,https://www.ammerland-iberica.com,Hall 10.1 | G030,info@ammerland-iberica.com,+34 913076183
Ammerland Trading GmbH,Germany,Dairy,https://molkerei-ammerland.com/de-de,Hall 10.1 | G030,hfinnern@ammerland-trading.de,+49 44589111864
AMMU INC,India,Drinks,https://www.ammuinc.com,Hall 07.1 | F025a,ammuinc@gmail.com,+91 9442625788
AMPHOREUS B&P AMPHOREUS P.C,Greece,Fine Food,http://www.amphoreus.com.gr,Hall 10.2 | I015a,info@amphoreus.com.gr,+30 2102017699
"Ample Agro Product Co., Ltd",Cambodia,Fine Food,http://www.ampleap.com,Hall 04.1 | D094,dos@dklinen.com,+855 0967613666
Amri Bio,Switzerland,Organic,http://iline-organic.ch,05.1 | F-091 - Organic Supermarket,info@iline-organic.ch,+49 1737488452
"AMRU Rice (Cambodia) Co., Ltd",Cambodia,Fine Food | Organic,http://amrurice.com.kh,Hall 02.1 | B011 B019,kmaly@amrurice.com.kh,+855 023990900
Amvrosia Gourmet - Stilianidi P. & Co.,Greece,Fine Food,http://www.amvrosiagourmet.gr,Hall 10.2 | G008,info@amvrosiagourmet.gr,+30 2105133437
Arroz Frocom - Uruguayan Rice Mill,Uruguay,Fine Food,http://www.frocom.com,Passage Halle 4 Halle 5 A047,exportaciones@frocom.com,+598 98244998
AS A. Le Coq,Estonia,Drinks,https://export.olvi.fi/,Hall 07.1 | E017,export@olvi.fi,+372 59063277
Associazione Formaggi Italiani DOP e IGP (AFIDOP),Italy,"Associations, organisations, trade press, services, IT | Dairy",https://www.afidop.it/,Hall 10.1 | G070 G078,segreteria@afidop.it,+39 3314308611
Azienda Agricola Scyavuru srl,Italy,Bread & Bakery,http://www.scyavuru.com,Hall 02.2 | F057,info@scyavuru.com,+39 092563297
BRAZILIAN ASSOCIATION OF ANIMAL PROTEIN,Brazil,"Associations, organisations, trade press, services, IT | Frozen Food",http://www.abpa-br.org,Hall 09.1 | C041,markets@abpa-br.org,+55 1130953120
Canada - Agriculture and Agri-Food Canada,Canada,"Associations, organisations, trade press, services, IT | Fine Food",https://agriculture.canada.ca/,Hall 11.2 | C040gD049g,aafc.mas-sam.aac@agr.gc.ca,+1 613 668 0311
Caseificio dell'Alta Langa srl,Italy,Dairy,http://www.caseificioaltalanga.it,Hall 10.1 | H080,,
COMPAGNIE CHERIFIENNE DE CHOCOLATERIE,Morocco,Fine Food,http://aiguebelle.ma,Hall 11.3 | A040 B049,,
ELEFTHERIOS G. ELEFTHERIOU (ACHNAGA,Cyprus,,,Hall 10.1 | B038a,,
EXERETON,Greece,Fine Food,https://www.exereton.com/en/,Hall 11.2 | F066,info@exereton.com,+30 2310464448
FE Organic Systems,Ukraine,Fine Food,http://www.inagro.ua,Hall 02.1 | E027,e.safronova@inagro.ua,+380 95 279 60 05
Frystmat Mena Foods Aktiebolag,Sweden,Meat,https://frystmat.com/,Hall 09.1 | E027,office.tr@frystmat.com,+90 5496227027
G.B. AMBROSOLI SPA,Italy,Bread & Bakery,http://www.ambrosoli.it,Hall 03.2 | C071,c.calloni@ambrosoli.it,+39 3426602724
Gesco S.C.A. - Amadori,Italy,Fine Food,http://www.amadori.it,Hall 11.2 | F019a,nicol.andreozzi@amadori.it,+39 0547343943
Group Export Agri-food,Canada,Fine Food,https://groupexport.ca/,Hall 11.2 | C029,tanjapopovic@groupexport.ca,+1 581 980 2894
GRUPO ALSUR,Spain,Fine Food,http://www.grupoalsur.com,Hall 11.1 | E012a,jmponte@grupoalsur.com,+34 697101859
"INTERAL, S.A. / ALINTER, S.A.U.",Spain,Fine Food,http://www.interal.es,Passage Halle 4 Halle 5 A038,i.mendiola@interal.es,+34 610400032
Jamones Aljomar S.A.,Spain,Meat,http://www.aljomar.es,Hall 07.1 | B043,export@aljomar.es,+34 923580190
Japan Curry Manufacturers Association,Japan,Fine Food,https://www.curry.or.jp/,Hall 02.1 | B028,curry@mx4.alpha-web.ne.jp,+81 356871793
JSC Alevista,Lithuania,,,Hall 9.1 | E068,,
KOURANTIDIS NIKOLAOS,Greece,Bread & Bakery,https://regina-foods.gr/,Hall 02.2 | D028,export@regina-foods.gr,+30 2310706481
Macaronade de Castel,France,Frozen Food,http://www.macaronadecastel.fr,Hall 04.2 | B051,contact@macaronadecastel.fr,+33 143180586
Mediterranen Fishery and Animal Products Exporters Association,Türkiye,Meat,https://www.akib.org.tr,Hall 07.1 | D060a,ashib@akib.org.tr,+90 (324) 325 37 37
Mondial Foods B.V.,Netherlands,Meat,http://www.mondialfoods.com,Hall 06.1 | E061,,
PAGYSA PAMUK GIDA YERLI URUNLER TIC. VE SAN. A.S.,Türkiye,Fine Food,http://www.pagysa.com,Hall 10.2 | C025,gokhan.bilman@novafruits.com.tr,+90 5330726110
Productos Selectos de Agave SPR de RL de CV,Mexico,Organic,http://www.theagavesweetenercompany.com,Hall 05.1 | E070,info@grupopsa.com,+52 33301100
SC ALEX STAR SRL,Romania,,,Hall 11.2 | G034,,
Sociedade da Água de Monchique,Portugal,Fine Food,https://aguamonchique.pt/,Hall 11.1 | F049,marketing@aguamonchique.pt,+351 282910120
Società Agricola Acetaia Sereni S.R.L.,Italy,Fine Food,http://www.acetaiasereni.com,Hall 10.2 | B088,info@acetaiasereni.com,+39 059705105
Società Agricola Acetomodena Società Semplice,Italy,Fine Food,http://www.acetomodena.it,Hall 11.3 | C014a,info@acetomodena.it,+39 3428750799
Storteboom Food Group B.V.,Netherlands,Meat,http://www.storteboom.com,Hall 09.1 | D020 D024,info@storteboom.com,+31 887533290
Suministros Agroebro S.L.,Spain,Fine Food,https://artajo.es/,Passage Halle 4 Halle 5 B035,info@artajo.es,+34 948386225
USA Poultry & Egg Export Council,United States of America,Meat,http://www.usapeec.org,Hall 09.1 | B026,usapeec@usapeec.org,+1 770 413 0006
Villa Modena Srl,Italy,Fine Food,http://www.villamodena.it,Hall 11.2 | C050a,info@villamodena.it,+39 0596137466
"ZHOUSHAN OCEAN SUN RISING AQUATIC PRODUCTS CO., LTD",China,Fine Food,http://www.zq-spice.com,Hall 01.2 | M015,weaver1996@163.com,+86 5802381313
